Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2014,3 Southern Metro,FRANKSTON,5529,4060.037744
2014,3 Southern Metro,GLEN EIRA,3123,2173.368408
2014,3 Southern Metro,GREATER DANDENONG,6390,4200.216913
2014,3 Southern Metro,KINGSTON,4210,2730.043447
2014,3 Southern Metro,MORNINGTON PENINSULA,4951,3163.578275
2014,3 Southern Metro,PORT PHILLIP,5642,5401.575859
2014,3 Southern Metro,STONNINGTON,4292,4053.109713
2014,4 Western,ARARAT,418,3615.916955
2014,4 Western,BALLARAT,4715,4719.05839
2014,4 Western,BULOKE,94,1483.820047
2014,4 Western,CAMPASPE,1263,3382.612888
2014,4 Western,CENTRAL GOLDFIELDS,444,3446.134741
2014,4 Western,COLAC-OTWAY,780,3691.259287
2014,4 Western,CORANGAMITE,306,1872.705018
2014,4 Western,GANNAWARRA,247,2344.788305
2014,4 Western,GLENELG,749,3791.445204
2014,4 Western,GOLDEN PLAINS,279,1334.992105
2014,4 Western,GREATER BENDIGO,3328,3082.765967
2014,4 Western,GREATER GEELONG,8335,3659.811016
2014,4 Western,HEPBURN,341,2245.785037
2014,4 Western,HINDMARSH,84,1437.371663
2014,4 Western,HORSHAM,798,4040.915536
2014,4 Western,LODDON,166,2209.503527
2014,4 Western,MACEDON RANGES,849,1867.124101
2014,4 Western,MILDURA,2750,5117.516795
2014,4 Western,MOORABOOL,883,2842.335672
2014,4 Western,MOUNT ALEXANDER,366,1978.271445
2014,4 Western,MOYNE,326,1974.321705
2014,4 Western,NORTHERN GRAMPIANS,376,3192.663666
2014,4 Western,PYRENEES,242,3434.085426
2014,4 Western,QUEENSCLIFFE,55,1851.851852
2014,4 Western,SOUTHERN GRAMPIANS,421,2589.972316
2014,4 Western,SURF COAST,701,2427.789707
2014,4 Western,SWAN HILL,800,3820.439351
2014,4 Western,WARRNAMBOOL,1095,3246.464467
2014,4 Western,WEST WIMMERA,50,1238.236751
2014,4 Western,YARRIAMBIACK,118,1704.217215
2013,1 North West Metro,BANYULE,3388,2725.356758
2013,1 North West Metro,BRIMBANK,9296,4738.771162
2013,1 North West Metro,DAREBIN,5933,4028.600141
2013,1 North West Metro,HOBSONS BAY,3735,4187.78311
2013,1 North West Metro,HUME,7241,3916.742845
2013,1 North West Metro,MARIBYRNONG,4271,5353.337846
2013,1 North West Metro,MELBOURNE,11618,9786.793136
2013,1 North West Metro,MELTON,4352,3511.489801
2013,1 North West Metro,MOONEE VALLEY,4147,3591.595649
2013,1 North West Metro,MORELAND,6533,4075.941154
2013,1 North West Metro,NILLUMBIK,915,1448.380663
2013,1 North West Metro,WHITTLESEA,5808,3239.769735
2013,1 North West Metro,WYNDHAM,6253,3287.401885
2013,1 North West Metro,YARRA,5448,6488.649627
2013,2 Eastern,ALPINE,156,1270.048034
2013,2 Eastern,BASS COAST,1150,3670.4861
2013,2 Eastern,BAW BAW,1246,2730.839196
2013,2 Eastern,BENALLA,499,3595.618965
2013,2 Eastern,BOROONDARA,3883,2277.619732
2013,2 Eastern,EAST GIPPSLAND,1954,4460.270721
2013,2 Eastern,GREATER SHEPPARTON,2616,4136.360761
2013,2 Eastern,INDIGO,197,1262.415892
2013,2 Eastern,KNOX,3915,2504.045489
2013,2 Eastern,LATROBE,4442,5992.660947
2013,2 Eastern,MANNINGHAM,1692,1429.57324
2013,2 Eastern,MANSFIELD,164,1981.633639
2013,2 Eastern,MAROONDAH,2701,2460.352884
2013,2 Eastern,MITCHELL,1147,3035.355139
2013,2 Eastern,MOIRA,656,2269.503546
2013,2 Eastern,MONASH,4440,2422.853401
2013,2 Eastern,MURRINDINDI,299,2204.527022
2013,2 Eastern,SOUTH GIPPSLAND,570,2016.057723
2013,2 Eastern,STRATHBOGIE,227,2300.597953
2013,2 Eastern,TOWONG,111,1862.103674
2013,2 Eastern,WANGARATTA,796,2878.842676
2013,2 Eastern,WELLINGTON,1902,4452.142974
2013,2 Eastern,WHITEHORSE,3696,2280.341311
2013,2 Eastern,WODONGA,1393,3707.252162
2013,2 Eastern,YARRA RANGES,3072,2035.758307
2013,3 Southern Metro,BAYSIDE,2451,2494.605708
2013,3 Southern Metro,CARDINIA,2523,2982.5868
2013,3 Southern Metro,CASEY,7606,2735.744884
2013,3 Southern Metro,FRANKSTON,5679,4226.987518
2013,3 Southern Metro,GLEN EIRA,3271,2315.588277
2013,3 Southern Metro,GREATER DANDENONG,6390,4302.972351
2013,3 Southern Metro,KINGSTON,3978,2611.332843
2013,3 Southern Metro,MORNINGTON PENINSULA,4653,3021.408952
2013,3 Southern Metro,PORT PHILLIP,5812,5689.337875
2013,3 Southern Metro,STONNINGTON,4357,4210.190652
2013,4 Western,ARARAT,530,4612.706701
2013,4 Western,BALLARAT,5149,5235.703246
2013,4 Western,BULOKE,141,2207.263619
2013,4 Western,CAMPASPE,1332,3579.394298
2013,4 Western,CENTRAL GOLDFIELDS,525,4096.761607
2013,4 Western,COLAC-OTWAY,673,3199.429522
2013,4 Western,CORANGAMITE,299,1822.05972
2013,4 Western,GANNAWARRA,227,2156.564697
2013,4 Western,GLENELG,659,3328.78719
2013,4 Western,GOLDEN PLAINS,282,1384.932718
2013,4 Western,GREATER BENDIGO,3213,3032.362185
2013,4 Western,GREATER GEELONG,8185,3664.537042
2013,4 Western,HEPBURN,375,2496.338703
2013,4 Western,HINDMARSH,128,2187.286398
2013,4 Western,HORSHAM,783,3975.830202
2013,4 Western,LODDON,200,2660.28199
2013,4 Western,MACEDON RANGES,818,1834.286355
2013,4 Western,MILDURA,2700,5079.388968
2013,4 Western,MOORABOOL,955,3140.414337
2013,4 Western,MOUNT ALEXANDER,363,1989.368115
2013,4 Western,MOYNE,346,2105.775668
2013,4 Western,NORTHERN GRAMPIANS,451,3796.296296
2013,4 Western,PYRENEES,204,2940.328625
2013,4 Western,QUEENSCLIFFE,53,1765.489674
2013,4 Western,SOUTHERN GRAMPIANS,427,2610.822378
2013,4 Western,SURF COAST,667,2362.902083
2013,4 Western,SWAN HILL,787,3747.08375
2013,4 Western,WARRNAMBOOL,1084,3243.275589
2013,4 Western,WEST WIMMERA,77,1867.119302
2013,4 Western,YARRIAMBIACK,151,2147.326507
2012,1 North West Metro,BANYULE,3720,3010.098395
2012,1 North West Metro,BRIMBANK,9630,4969.706978
2012,1 North West Metro,DAREBIN,6737,4646.655539
2012,1 North West Metro,HOBSONS BAY,3414,3864.657739
2012,1 North West Metro,HUME,7290,4068.034955
2012,1 North West Metro,MARIBYRNONG,4470,5791.730911
2012,1 North West Metro,MELBOURNE,11357,10556.99121
2012,1 North West Metro,MELTON,4794,4051.415967
2012,1 North West Metro,MOONEE VALLEY,4194,3689.530495
2012,1 North West Metro,MORELAND,6765,4309.823084
2012,1 North West Metro,NILLUMBIK,950,1509.493922
2012,1 North West Metro,WHITTLESEA,5903,3472.495926
2012,1 North West Metro,WYNDHAM,6495,3625.838074
2012,1 North West Metro,YARRA,5837,7182.40882
2012,2 Eastern,ALPINE,149,1223.015678
2012,2 Eastern,BASS COAST,1141,3703.222875
2012,2 Eastern,BAW BAW,1262,2835.572732
2012,2 Eastern,BENALLA,483,3487.616434
2012,2 Eastern,BOROONDARA,4147,2461.375925
2012,2 Eastern,EAST GIPPSLAND,1525,3519.582728
2012,2 Eastern,GREATER SHEPPARTON,2788,4456.379272
2012,2 Eastern,INDIGO,216,1397.696389
2012,2 Eastern,KNOX,3779,2431.695044
2012,2 Eastern,LATROBE,4531,6122.642019
2012,2 Eastern,MANNINGHAM,1779,1514.816076
2012,2 Eastern,MANSFIELD,154,1901.93899
2012,2 Eastern,MAROONDAH,2686,2477.082834
2012,2 Eastern,MITCHELL,1009,2773.19701
2012,2 Eastern,MOIRA,722,2517.872711
2012,2 Eastern,MONASH,4400,2440.214739
2012,2 Eastern,MURRINDINDI,284,2110.58264
2012,2 Eastern,SOUTH GIPPSLAND,532,1905.034735
2012,2 Eastern,STRATHBOGIE,196,2011.494253
2012,2 Eastern,TOWONG,115,1936.026936
2012,2 Eastern,WANGARATTA,758,2762.592026
2012,2 Eastern,WELLINGTON,1595,3757.804217
2012,2 Eastern,WHITEHORSE,3661,2292.983258
2012,2 Eastern,WODONGA,1533,4170.520703
2012,2 Eastern,YARRA RANGES,3087,2059.867613
2012,3 Southern Metro,BAYSIDE,2566,2646.151942
2012,3 Southern Metro,CARDINIA,2322,2887.269653
2012,3 Southern Metro,CASEY,7498,2784.875947
2012,3 Southern Metro,FRANKSTON,5346,4044.056462
2012,3 Southern Metro,GLEN EIRA,3402,2445.441215
2012,3 Southern Metro,GREATER DANDENONG,6057,4173.902258
2012,3 Southern Metro,KINGSTON,4149,2758.001795
2012,3 Southern Metro,MORNINGTON PENINSULA,4730,3117.996045
2012,3 Southern Metro,PORT PHILLIP,5549,5554.94379
2012,3 Southern Metro,STONNINGTON,4496,4433.487822
2012,4 Western,ARARAT,558,4894.736842
2012,4 Western,BALLARAT,5381,5563.022083
2012,4 Western,BULOKE,101,1569.785514
2012,4 Western,CAMPASPE,1225,3307.146135
2012,4 Western,CENTRAL GOLDFIELDS,411,3232.656914
2012,4 Western,COLAC-OTWAY,717,3430.293752
2012,4 Western,CORANGAMITE,406,2465.088039
2012,4 Western,GANNAWARRA,196,1867.02229
2012,4 Western,GLENELG,650,3278.688525
2012,4 Western,GOLDEN PLAINS,247,1259.94695
2012,4 Western,GREATER BENDIGO,3260,3137.481353
2012,4 Western,GREATER GEELONG,8145,3716.598525
2012,4 Western,HEPBURN,360,2428.330523
2012,4 Western,HINDMARSH,107,1826.873826
2012,4 Western,HORSHAM,808,4120.767034
2012,4 Western,LODDON,191,2536.857484
2012,4 Western,MACEDON RANGES,736,1680.595515
2012,4 Western,MILDURA,2669,5086.231539
2012,4 Western,MOORABOOL,808,2751.762422
2012,4 Western,MOUNT ALEXANDER,383,2121.531047
2012,4 Western,MOYNE,334,2048.577036
2012,4 Western,NORTHERN GRAMPIANS,436,3642.439432
2012,4 Western,PYRENEES,165,2405.247813
2012,4 Western,QUEENSCLIFFE,70,2289.826627
2012,4 Western,SOUTHERN GRAMPIANS,450,2733.734281
2012,4 Western,SURF COAST,801,2909.553215
2012,4 Western,SWAN HILL,799,3810.023366
2012,4 Western,WARRNAMBOOL,1075,3251.762001
2012,4 Western,WEST WIMMERA,68,1613.668723
2012,4 Western,YARRIAMBIACK,180,2536.997886
2011,1 North West Metro,BANYULE,3484,2832.911866
2011,1 North West Metro,BRIMBANK,9382,4899.319046
2011,1 North West Metro,DAREBIN,5942,4156.930783
2011,1 North West Metro,HOBSONS BAY,3091,3536.815607
2011,1 North West Metro,HUME,7091,4068.506512
2011,1 North West Metro,MARIBYRNONG,4557,6063.549512
2011,1 North West Metro,MELBOURNE,12281,12251.59617
2011,1 North West Metro,MELTON,3851,3418.76548
2011,1 North West Metro,MOONEE VALLEY,3788,3376.715992
2011,1 North West Metro,MORELAND,6347,4114.828814
2011,1 North West Metro,NILLUMBIK,981,1564.194145
2011,1 North West Metro,WHITTLESEA,4964,3087.064677
2011,1 North West Metro,WYNDHAM,5766,3458.928968
2011,1 North West Metro,YARRA,5486,6952.84083
2011,2 Eastern,ALPINE,126,1044.083527
2011,2 Eastern,BASS COAST,1034,3420.10386
2011,2 Eastern,BAW BAW,981,2260.941713
2011,2 Eastern,BENALLA,442,3198.726299
2011,2 Eastern,BOROONDARA,3739,2238.091248
2011,2 Eastern,EAST GIPPSLAND,1525,3560.920936
2011,2 Eastern,GREATER SHEPPARTON,2500,4048.976419
2011,2 Eastern,INDIGO,186,1214.337011
2011,2 Eastern,KNOX,3511,2270.65481
2011,2 Eastern,LATROBE,3949,5351.818724
2011,2 Eastern,MANNINGHAM,1664,1425.267666
2011,2 Eastern,MANSFIELD,163,2052.379753
2011,2 Eastern,MAROONDAH,2573,2397.435778
2011,2 Eastern,MITCHELL,1117,3181.882923
2011,2 Eastern,MOIRA,625,2200.239386
2011,2 Eastern,MONASH,4531,2554.907102
2011,2 Eastern,MURRINDINDI,254,1904.761905
2011,2 Eastern,SOUTH GIPPSLAND,484,1759.232335
2011,2 Eastern,STRATHBOGIE,183,1906.647218
2011,2 Eastern,TOWONG,86,1453.193647
2011,2 Eastern,WANGARATTA,763,2803.91004
2011,2 Eastern,WELLINGTON,1418,3370.733099
2011,2 Eastern,WHITEHORSE,3363,2134.723051
2011,2 Eastern,WODONGA,1244,3453.157529
2011,2 Eastern,YARRA RANGES,3061,2055.728303
2011,3 Southern Metro,BAYSIDE,2045,2127.571032
2011,3 Southern Metro,CARDINIA,2068,2727.116878
2011,3 Southern Metro,CASEY,7493,2867.782702
2011,3 Southern Metro,FRANKSTON,5567,4270.809359
2011,3 Southern Metro,GLEN EIRA,3111,2268.286281
2011,3 Southern Metro,GREATER DANDENONG,6021,4235.160058
2011,3 Southern Metro,KINGSTON,3973,2678.956738
2011,3 Southern Metro,MORNINGTON PENINSULA,4492,3009.291825
2011,3 Southern Metro,PORT PHILLIP,5472,5625.231301
2011,3 Southern Metro,STONNINGTON,4435,4486.459693
2011,4 Western,ARARAT,408,3602.33092
2011,4 Western,BALLARAT,5144,5404.212849
2011,4 Western,BULOKE,196,3031.709203
2011,4 Western,CAMPASPE,1083,2938.542939
2011,4 Western,CENTRAL GOLDFIELDS,465,3696.637253
2011,4 Western,COLAC-OTWAY,592,2846.290687
2011,4 Western,CORANGAMITE,338,2045.262011
2011,4 Western,GANNAWARRA,273,2611.690424
2011,4 Western,GLENELG,766,3859.330915
2011,4 Western,GOLDEN PLAINS,233,1229.032598
2011,4 Western,GREATER BENDIGO,2752,2698.171479
2011,4 Western,GREATER GEELONG,7950,3683.335109
2011,4 Western,HEPBURN,325,2221.614601
2011,4 Western,HINDMARSH,81,1383.196721
2011,4 Western,HORSHAM,762,3903.088665
2011,4 Western,LODDON,214,2835.939571
2011,4 Western,MACEDON RANGES,773,1802.579111
2011,4 Western,MILDURA,2774,5352.938906
2011,4 Western,MOORABOOL,676,2357.865364
2011,4 Western,MOUNT ALEXANDER,348,1947.179946
2011,4 Western,MOYNE,298,1843.260964
2011,4 Western,NORTHERN GRAMPIANS,472,3915.712627
2011,4 Western,PYRENEES,163,2411.599349
2011,4 Western,QUEENSCLIFFE,66,2156.158118
2011,4 Western,SOUTHERN GRAMPIANS,417,2516.444391
2011,4 Western,SURF COAST,590,2212.555314
2011,4 Western,SWAN HILL,707,3388.449557
2011,4 Western,WARRNAMBOOL,1074,3287.721554
2011,4 Western,WEST WIMMERA,45,1049.685094
2011,4 Western,YARRIAMBIACK,158,2199.638034
