Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2019,3 Southern Metro,BAYSIDE,2674,2502.292677
2019,3 Southern Metro,CARDINIA,2619,2335.077881
2019,3 Southern Metro,CASEY,10117,2858.943347
2019,3 Southern Metro,FRANKSTON,5641,3954.627987
2019,3 Southern Metro,GLEN EIRA,3502,2237.542409
2019,3 Southern Metro,GREATER DANDENONG,7944,4722.920791
2019,3 Southern Metro,KINGSTON,5032,3035.311433
2019,3 Southern Metro,MORNINGTON PENINSULA,4613,2751.795557
2019,3 Southern Metro,PORT PHILLIP,6234,5392.686914
2019,3 Southern Metro,STONNINGTON,5018,4260.919774
2019,4 Western,ARARAT,441,3723.089911
2019,4 Western,BALLARAT,4826,4407.104698
2019,4 Western,BULOKE,110,1796.211626
2019,4 Western,CAMPASPE,1623,4313.965233
2019,4 Western,CENTRAL GOLDFIELDS,475,3602.305476
2019,4 Western,COLAC-OTWAY,722,3348.172881
2019,4 Western,CORANGAMITE,267,1666.666667
2019,4 Western,GANNAWARRA,327,3122.612681
2019,4 Western,GLENELG,478,2429.602521
2019,4 Western,GOLDEN PLAINS,316,1332.096788
2019,4 Western,GREATER BENDIGO,3961,3354.136147
2019,4 Western,GREATER GEELONG,8673,3349.50219
2019,4 Western,HEPBURN,415,2597.809077
2019,4 Western,HINDMARSH,152,2720.114531
2019,4 Western,HORSHAM,634,3182.571156
2019,4 Western,LODDON,221,2945.095949
2019,4 Western,MACEDON RANGES,890,1771.814218
2019,4 Western,MILDURA,2907,5211.825663
2019,4 Western,MOORABOOL,867,2473.679706
2019,4 Western,MOUNT ALEXANDER,397,2009.71955
2019,4 Western,MOYNE,320,1887.571521
2019,4 Western,NORTHERN GRAMPIANS,399,3499.386073
2019,4 Western,PYRENEES,219,2930.942184
2019,4 Western,QUEENSCLIFFE,88,2993.197279
2019,4 Western,SOUTHERN GRAMPIANS,421,2614.906832
2019,4 Western,SURF COAST,602,1799.378288
2019,4 Western,SWAN HILL,941,4557.12141
2019,4 Western,WARRNAMBOOL,1473,4186.919076
2019,4 Western,WEST WIMMERA,76,1978.651393
2019,4 Western,YARRIAMBIACK,193,2907.064317
2018,1 North West Metro,BANYULE,4122,3164.683301
2018,1 North West Metro,BRIMBANK,8343,3996.761584
2018,1 North West Metro,DAREBIN,7349,4546.15751
2018,1 North West Metro,HOBSONS BAY,2737,2836.827976
2018,1 North West Metro,HUME,8869,3951.912237
2018,1 North West Metro,MARIBYRNONG,4144,4533.272073
2018,1 North West Metro,MELBOURNE,13361,7844.783551
2018,1 North West Metro,MELTON,4887,3118.339948
2018,1 North West Metro,MOONEE VALLEY,4112,3214.860913
2018,1 North West Metro,MORELAND,7738,4256.793927
2018,1 North West Metro,NILLUMBIK,1109,1707.703916
2018,1 North West Metro,WHITTLESEA,6944,3109.063475
2018,1 North West Metro,WYNDHAM,6107,2391.460134
2018,1 North West Metro,YARRA,6607,6703.054775
2018,2 Eastern,ALPINE,183,1437.549097
2018,2 Eastern,BASS COAST,989,2799.637661
2018,2 Eastern,BAW BAW,1656,3183.880643
2018,2 Eastern,BENALLA,542,3865.078799
2018,2 Eastern,BOROONDARA,4023,2218.044284
2018,2 Eastern,EAST GIPPSLAND,1712,3656.869446
2018,2 Eastern,GREATER SHEPPARTON,2937,4449.460671
2018,2 Eastern,INDIGO,203,1231.123779
2018,2 Eastern,KNOX,4734,2900.52202
2018,2 Eastern,LATROBE,5045,6707.97378
2018,2 Eastern,MANNINGHAM,2403,1914.207193
2018,2 Eastern,MANSFIELD,206,2294.242121
2018,2 Eastern,MAROONDAH,2894,2462.87392
2018,2 Eastern,MITCHELL,1588,3584.811955
2018,2 Eastern,MOIRA,769,2580.796725
2018,2 Eastern,MONASH,5449,2721.615088
2018,2 Eastern,MURRINDINDI,312,2154.993784
2018,2 Eastern,SOUTH GIPPSLAND,525,1775.147929
2018,2 Eastern,STRATHBOGIE,320,3006.388576
2018,2 Eastern,TOWONG,89,1470.102412
2018,2 Eastern,WANGARATTA,818,2812.349584
2018,2 Eastern,WELLINGTON,1546,3512.279347
2018,2 Eastern,WHITEHORSE,4044,2294.168704
2018,2 Eastern,WODONGA,1281,3092.036979
2018,2 Eastern,YARRA RANGES,2986,1887.83026
2018,3 Southern Metro,BAYSIDE,2714,2566.55161
2018,3 Southern Metro,CARDINIA,2479,2314.291849
2018,3 Southern Metro,CASEY,9337,2742.60302
2018,3 Southern Metro,FRANKSTON,5531,3899.271751
2018,3 Southern Metro,GLEN EIRA,3481,2261.564449
2018,3 Southern Metro,GREATER DANDENONG,7594,4570.843867
2018,3 Southern Metro,KINGSTON,4372,2674.791376
2018,3 Southern Metro,MORNINGTON PENINSULA,4650,2804.194834
2018,3 Southern Metro,PORT PHILLIP,6291,5554.231228
2018,3 Southern Metro,STONNINGTON,4893,4207.910149
2018,4 Western,ARARAT,443,3755.828741
2018,4 Western,BALLARAT,5118,4768.737654
2018,4 Western,BULOKE,104,1682.031376
2018,4 Western,CAMPASPE,1299,3455.706305
2018,4 Western,CENTRAL GOLDFIELDS,489,3702.301635
2018,4 Western,COLAC-OTWAY,747,3474.095433
2018,4 Western,CORANGAMITE,351,2174.855939
2018,4 Western,GANNAWARRA,243,2304.191163
2018,4 Western,GLENELG,601,3056.346623
2018,4 Western,GOLDEN PLAINS,306,1323.643914
